"name_name","name_picture","name_picture_url","name_address","name_level"
"月坛公园","https://dimg01.c-ctrip.com/images/100m1f000001gzlwy2197_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/5171.html","北京市西城区月坛北街甲6号",""
"日坛公园","https://dimg07.c-ctrip.com/images/100k1f000001guiklF27A_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/107704.html","北京市朝阳区朝阳门外日坛北路6号",""
"郭沫若纪念馆","https://dimg03.c-ctrip.com/images/fd/tg/g1/M09/7B/A1/CghzfFWwuiiAAkYOABM_U_YWEu4196_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/62673.html","西城区前海西街18号(什刹海体校门口往右拐，走50米左右即到)",""
"广济寺","https://dimg06.c-ctrip.com/images/100e1f000001gt2wkF20E_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/51060.html","北京市西城区阜成门内大街25号",""
"太平洋海底世界","https://dimg08.c-ctrip.com/images/0104a1200089fmd5f8708_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/107846.html","海淀区西三环中路11号中央广播电视塔下",""
"呀路古热带植物园","https://dimg05.c-ctrip.com/images/0101n120008rabe9642B4_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/1412954.html","大兴区长子营镇104国道朱庄北口北行200米",""
"青龙湖公园","https://dimg01.c-ctrip.com/images/0104a120006q4gwvrC262_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/137954.html","北京市丰台区王佐镇境内","AAA级景区"
"北京喇叭沟原始森林公园","https://dimg06.c-ctrip.com/images/100n1f000001gpbu6339C_C_220_140.jpg","https://you.ctrip.com/sight/huairou120418/107699.html","北京市怀柔区喇叭沟门满族乡孙栅子村西300号",""
"王府井天主教堂","https://dimg08.c-ctrip.com/images/100a1f000001grku79905_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/107632.html","北京市东城区王府井大街路东74号",""
"故宫珍宝馆","https://dimg02.c-ctrip.com/images/100f0b0000005z1rsE5D1_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/145148.html","故宫博物院宁寿宫内",""
"观复博物馆","https://dimg04.c-ctrip.com/images/100v1f000001h19qkF9FD_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/107682.html","北京市朝阳区大山子张万坟金南路18号",""
"中华民族博物院","https://dimg05.c-ctrip.com/images/10021f000001gxbr10EBD_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/5284.html","北京市朝阳区民族园路1号（健翔桥东路口）",""
